BaseAddress	AllocationBase	AllocationProtect	RegionSize	State	Protect	Type
00000000	0	0	00010000	00010000	00000001	
00010000	0	0	00010000	00001000	00000004	00040000
00020000	0	0	00010000	00001000	00000004	00040000
00030000	0	0	00004000	00001000	00000002	00040000
00034000	0	0	0000c000	00010000	00000001	
00040000	0	0	00003000	00001000	00000002	00040000
00043000	0	0	0000d000	00010000	00000001	
00050000	0	0	00001000	00001000	00000004	00020000
00051000	0	0	0000f000	00010000	00000001	
00060000	0	0	00001000	00001000	00000004	00020000
00061000	0	0	0000f000	00010000	00000001	
00070000	0	0	00081000	00002000		00020000
000f1000	0	0	00001000	00001000	00000104	00020000
000f2000	0	0	0007e000	00001000	00000004	00020000
00170000	0	0	00067000	00001000	00000002	00040000
001d7000	0	0	00009000	00010000	00000001	
001e0000	0	0	00001000	00001000	00000004	00020000
001e1000	0	0	0000f000	00010000	00000001	
001f0000	0	0	00007000	00001000	00000002	00040000
001f7000	0	0	00009000	00010000	00000001	
00200000	0	0	00040000	00001000	00000004	00020000
00240000	0	0	00002000	00001000	00000004	00040000
00242000	0	0	0000e000	00010000	00000001	
00250000	0	0	00001000	00001000	00000004	00040000
00251000	0	0	0000f000	00010000	00000001	
00260000	0	0	00001000	00001000	00000002	00040000
00261000	0	0	0000f000	00010000	00000001	
00270000	0	0	00010000	00001000	00000004	00020000
00280000	0	0	00100000	00001000	00000004	00020000
00380000	0	0	00002000	00001000	00000002	00040000
00382000	0	0	0000e000	00010000	00000001	
00390000	0	0	00001000	00001000	00000002	00040000
00391000	0	0	0000f000	00010000	00000001	
003a0000	0	0	00002000	00001000	00000002	00040000
003a2000	0	0	0000e000	00010000	00000001	
003b0000	0	0	00001000	00001000	00000002	00040000
003b1000	0	0	0000f000	00010000	00000001	
003c0000	0	0	00001000	00001000	00000004	00040000
003c1000	0	0	0000f000	00010000	00000001	
003d0000	0	0	00010000	00001000	00000040	00020000
003e0000	0	0	00010000	00001000	00000040	00020000
003f0000	0	0	00001000	00001000	00000004	00020000
003f1000	0	0	0000f000	00010000	00000001	
00400000	0	0	00010000	00001000	00000004	00020000
00410000	0	0	00100000	00001000	00000004	00020000
00510000	0	0	00004000	00001000	00000002	00040000
00514000	0	0	000bc000	00002000		00040000
005d0000	0	0	00003000	00001000	00000002	00040000
005d3000	0	0	00005000	00002000		00040000
005d8000	0	0	00008000	00010000	00000001	
005e0000	0	0	00101000	00001000	00000002	00040000
006e1000	0	0	0000f000	00010000	00000001	
006f0000	0	0	00055000	00001000	00000002	00040000
00745000	0	0	00bab000	00002000		00040000
012f0000	0	0	00001000	00001000	00000004	00020000
012f1000	0	0	0000f000	00010000	00000001	
01300000	0	0	00010000	00001000	00000004	00020000
01310000	0	0	00003000	00001000	00000004	00020000
01313000	0	0	0000d000	00010000	00000001	
01320000	0	0	00002000	00001000	00000004	00020000
01322000	0	0	0000e000	00010000	00000001	
01330000	0	0	0000c000	00001000	00000004	00020000
0133c000	0	0	00004000	00010000	00000001	
01340000	0	0	00001000	00001000	00000002	01000000
01341000	0	0	00006000	00001000	00000020	01000000
01347000	0	0	00001000	00001000	00000040	01000000
01348000	0	0	00002000	00001000	00000002	01000000
0134a000	0	0	00001000	00001000	00000004	01000000
0134b000	0	0	00042000	00001000	00000002	01000000
0138d000	0	0	00003000	00010000	00000001	
01390000	0	0	0000c000	00001000	00000004	00020000
0139c000	0	0	00004000	00010000	00000001	
013a0000	0	0	00002000	00001000	00000004	00020000
013a2000	0	0	0000e000	00010000	00000001	
013b0000	0	0	0000c000	00001000	00000004	00020000
013bc000	0	0	00004000	00010000	00000001	
013c0000	0	0	00001000	00001000	00000404	00040000
013c1000	0	0	0000f000	00010000	00000001	
013d0000	0	0	00040000	00001000	00000004	00020000
01410000	0	0	00008000	00001000	00000004	00040000
01418000	0	0	00008000	00010000	00000001	
01420000	0	0	00001000	00001000	00000004	00020000
01421000	0	0	0000f000	00010000	00000001	
01430000	0	0	00017000	00001000	00000004	00020000
01447000	0	0	00029000	00002000		00020000
01470000	0	0	002cf000	00001000	00000002	00040000
0173f000	0	0	00001000	00010000	00000001	
01740000	0	0	00100000	00001000	00000004	00020000
01840000	0	0	00002000	00001000	00000004	00020000
01842000	0	0	0000e000	00010000	00000001	
01850000	0	0	00001000	00001000	00000004	00040000
